abk	Abkhaz
ady	Adyghe
afh	Afrihili
afr	Afrikaans
ain	Ainu
akl	Aklanon
sqi	Albanian
arq	Algerian Arabic
amh	Amharic
grc	Ancient Greek
ara	Arabic
arg	Aragonese
hye	Armenian
asm	Assamese
aii	Assyrian Neo\u002dAramaic
ast	Asturian
awa	Awadhi
aym	Aymara
aze	Azerbaijani
ban	Balinese
bam	Bambara
bjn	Banjar
bak	Bashkir
eus	Basque
bar	Bavarian
bvy	Baybayanon
bel	Belarusian
ben	Bengali
ber	Berber
bho	Bhojpuri
bis	Bislama
brx	Bodo
bos	Bosnian
bre	Breton
bzt	Brithenig
bul	Bulgarian
mya	Burmese
bua	Buryat
yue	Cantonese
cat	Catalan
cay	Cayuga
ceb	Cebuano
bcl	Central Bikol
dtp	Central Dusun
nch	Central Huasteca Nahuatl
cmo	Central Mnong
chg	Chagatai
cha	Chamorro
cbk	Chavacano
che	Chechen
chr	Cherokee
cpi	Chinese Pidgin English
nya	Chinyanja
cho	Choctaw
ckt	Chukchi
chv	Chuvash
kzj	Coastal Kadazan
cor	Cornish
cos	Corsican
crh	Crimean Tatar
hrv	Croatian
cyo	Cuyonon
cycl	CycL
ces	Czech
dan	Danish
div	Dhivehi
dng	Dungan
nld	Dutch
dws	Dutton World Speedwords
arz	Egyptian Arabic
egl	Emilian
eng	English
emx	Erromintxela
myv	Erzya
epo	Esperanto
est	Estonian
evn	Evenki
ewe	Ewe
ext	Extremaduran
fao	Faroese
hif	Fiji Hindi
fij	Fijian
fin	Finnish
fra	French
fry	Frisian
fur	Friulian
gaa	Ga
gag	Gagauz
glg	Galician
gan	Gan Chinese
gbm	Garhwali
kat	Georgian
deu	German
aln	Gheg Albanian
gil	Gilbertese
got	Gothic
ell	Greek
kal	Greenlandic
gos	Gronings
gcf	Guadeloupean Creole French
grn	Guarani
ngu	Guerrero Nahuatl
guj	Gujarati
afb	Gulf Arabic
hat	Haitian Creole
hak	Hakka Chinese
hau	Hausa
haw	Hawaiian
heb	Hebrew
hil	Hiligaynon
mrj	Hill Mari
hin	Hindi
mww	Hmong Daw \u0028White\u0029
hnj	Hmong Njua \u0028Green\u0029
hoc	Ho
hun	Hungarian
hrx	Hunsrik
iba	Iban
isl	Icelandic
ido	Ido
ibo	Igbo
ilo	Ilocano
ind	Indonesian
izh	Ingrian
ina	Interlingua
ile	Interlingue
ike	Inuktitut
acm	Iraqi Arabic
gle	Irish
tts	Isan
ita	Italian
jam	Jamaican Patois
jpn	Japanese
jav	Javanese
tmr	Jewish Babylonian Aramaic
jpa	Jewish Palestinian Aramaic
cjy	Jin Chinese
jdt	Juhuri \u0028Judeo\u002dTat\u0029
quc	K\u0027iche\u0027
kab	Kabyle
xal	Kalmyk
kam	Kamba
kan	Kannada
pam	Kapampangan
krc	Karachay\u002dBalkar
kaa	Karakalpak
krl	Karelian
kas	Kashmiri
csb	Kashubian
kaz	Kazakh
kek	Kekchi \u0028Q\u0027eqchi\u0027\u0029
kxi	Keningau Murut
kjh	Khakas
kha	Khasi
khm	Khmer
kin	Kinyarwanda
run	Kirundi
tlh	Klingon
ksh	K\u00f6lsch
koi	Komi\u002dPermyak
kpv	Komi\u002dZyrian
gom	Konkani \u0028Goan\u0029
kor	Korean
avk	Kotava
kum	Kumyk
kur	Kurdish
fkv	Kven Finnish
kir	Kyrgyz
ldn	L\u00e1adan
lld	Ladin
lad	Ladino
lkt	Lakota
lao	Lao
ltg	Latgalian
lat	Latin
lvs	Latvian
lzz	Laz
lij	Ligurian
lin	Lingala
lfn	Lingua Franca Nova
lzh	Literary Chinese
lit	Lithuanian
liv	Livonian
jbo	Lojban
lmo	Lombard
lou	Louisiana Creole
nds	Low German \u0028Low Saxon\u0029
dsb	Lower Sorbian
lug	Luganda
ltz	Luxembourgish
mkd	Macedonian
mad	Madurese
mai	Maithili
mlg	Malagasy
zsm	Malay
zlm	Malay \u0028Vernacular\u0029
mal	Malayalam
mlt	Maltese
mgm	Mambae
mnc	Manchu
cmn	Mandarin Chinese
glv	Manx
mri	Maori
mar	Marathi
mah	Marshallese
mhr	Meadow Mari
mic	Mi\u0027kmaq
enm	Middle English
frm	Middle French
nan	Min Nan Chinese
min	Minangkabau
xmf	Mingrelian
mwl	Mirandese
moh	Mohawk
mdf	Moksha
mnw	Mon
mon	Mongolian
mfe	Morisyen
ary	Moroccan Arabic
nst	Naga \u0028Tangshang\u0029
nah	Nahuatl
nau	Nauruan
nav	Navajo
npi	Nepali
new	Newari
ngt	Ngeq 
fuv	Nigerian Fulfulde
niu	Niuean
nog	Nogai
frr	North Frisian
apc	North Levantine Arabic
max	North Moluccan Malay
sme	Northern Sami
nob	Norwegian Bokm\u00e5l
nno	Norwegian Nynorsk
nov	Novial
nys	Nyungar
oci	Occitan
ori	Odia \u0028Oriya\u0029
oji	Ojibwe
ryu	Okinawan
oar	Old Aramaic
orv	Old East Slavic
ang	Old English
fro	Old French
non	Old Norse
prg	Old Prussian
osx	Old Saxon
osp	Old Spanish
tpw	Old Tupi
otk	Old Turkish
nlv	Orizaba Nahuatl
oss	Ossetian
ota	Ottoman Turkish
pfl	Palatine German
pau	Palauan
pag	Pangasinan
pap	Papiamento
pus	Pashto
pdc	Pennsylvania German
pes	Persian
phn	Phoenician
pcd	Picard
pms	Piedmontese
ppl	Pipil
pol	Polish
por	Portuguese
fuc	Pulaar
pan	Punjabi \u0028Eastern\u0029
pnb	Punjabi \u0028Western\u0029
que	Quechua
qya	Quenya
rap	Rapa Nui
rom	Romani
ron	Romanian
roh	Romansh
rus	Russian
rue	Rusyn
smo	Samoan
sgs	Samogitian
sag	Sango
san	Sanskrit
srd	Sardinian
stq	Saterland Frisian
sco	Scots
gla	Scottish Gaelic
srp	Serbian
tsn	Setswana
crs	Seychellois Creole
wuu	Shanghainese
sna	Shona
shs	Shuswap
scn	Sicilian
sjn	Sindarin
snd	Sindhi
sin	Sinhala
slk	Slovak
slv	Slovenian
som	Somali
alt	Southern Altai
sma	Southern Sami
sot	Southern Sotho
spa	Spanish
sux	Sumerian
sun	Sundanese
swg	Swabian
swh	Swahili
ssw	Swazi
swe	Swedish
gsw	Swiss German
syc	Syriac
shy	Tachawit
mvv	Tagal Murut
tgl	Tagalog
thv	Tahaggart Tamahaq
tah	Tahitian
tgk	Tajik
tzl	Talossan
tly	Talysh
tam	Tamil
rif	Tarifit
tat	Tatar
tel	Telugu
tmw	Temuan
tet	Tetun
tha	Thai
bod	Tibetan
tig	Tigre
tir	Tigrinya
tpi	Tok Pisin
tkl	Tokelauan
toki	Toki Pona
toi	Tonga \u0028Zambezi\u0029
ton	Tongan
tso	Tsonga
tur	Turkish
tuk	Turkmen
tvl	Tuvaluan
tyv	Tuvinian
aoz	Uab Meto
udm	Udmurt
ukr	Ukrainian
umb	Umbundu
hsb	Upper Sorbian
urd	Urdu
urh	Urhobo
uig	Uyghur
uzb	Uzbek
vec	Venetian
vep	Veps
vie	Vietnamese
vol	Volap\u00fck
vro	V\u00f5ro
wln	Walloon
war	Waray
cym	Welsh
wol	Wolof
xho	Xhosa
hsn	Xiang Chinese
sah	Yakut
yid	Yiddish
yor	Yoruba
zza	Zaza
zul	Zulu
